date,date_key,year,quarter,month,month_name,day,day_name,transport_mode,value_type,ridership_value,recovery_pct
2020-04-03,20200403,2020,2,4,April,3,Friday,Bridges and Tunnels,Total Traffic,340272,36
2020-04-03,20200403,2020,2,4,April,3,Friday,Buses,Estimated Ridership,24418,1
2020-04-03,20200403,2020,2,4,April,3,Friday,LIRR,Estimated Ridership,9657,3
2020-04-03,20200403,2020,2,4,April,3,Friday,Metro-North,Estimated Ridership,9770,3
2020-04-03,20200403,2020,2,4,April,3,Friday,Staten Island Railway,Estimated Ridership,843,5
2020-04-03,20200403,2020,2,4,April,3,Friday,Subways,Estimated Ridership,483357,9
2020-04-04,20200404,2020,2,4,April,4,Saturday,Access-A-Ride,Scheduled Trips,4375,26
2020-04-04,20200404,2020,2,4,April,4,Saturday,Bridges and Tunnels,Total Traffic,243323,27
2020-04-04,20200404,2020,2,4,April,4,Saturday,Buses,Estimated Ridership,13168,1
2020-04-04,20200404,2020,2,4,April,4,Saturday,LIRR,Estimated Ridership,3727,3
2020-04-04,20200404,2020,2,4,April,4,Saturday,Metro-North,Estimated Ridership,4451,3
2020-04-04,20200404,2020,2,4,April,4,Saturday,Staten Island Railway,Estimated Ridership,425,8
2020-04-04,20200404,2020,2,4,April,4,Saturday,Subways,Estimated Ridership,282278,9
2020-04-05,20200405,2020,2,4,April,5,Sunday,Access-A-Ride,Scheduled Trips,2763,15
2020-04-05,20200405,2020,2,4,April,5,Sunday,Bridges and Tunnels,Total Traffic,209151,24
2020-04-05,20200405,2020,2,4,April,5,Sunday,Buses,Estimated Ridership,9748,1
2020-04-05,20200405,2020,2,4,April,5,Sunday,LIRR,Estimated Ridership,2969,3
2020-04-05,20200405,2020,2,4,April,5,Sunday,Metro-North,Estimated Ridership,3601,3
2020-04-05,20200405,2020,2,4,April,5,Sunday,Staten Island Railway,Estimated Ridership,300,9
2020-04-05,20200405,2020,2,4,April,5,Sunday,Subways,Estimated Ridership,227303,9
2020-04-06,20200406,2020,2,4,April,6,Monday,Access-A-Ride,Scheduled Trips,7093,25
2020-04-06,20200406,2020,2,4,April,6,Monday,Bridges and Tunnels,Total Traffic,335768,36
2020-04-06,20200406,2020,2,4,April,6,Monday,Buses,Estimated Ridership,22418,1
2020-04-06,20200406,2020,2,4,April,6,Monday,LIRR,Estimated Ridership,10127,3
2020-04-06,20200406,2020,2,4,April,6,Monday,Metro-North,Estimated Ridership,9832,3
2020-04-06,20200406,2020,2,4,April,6,Monday,Staten Island Railway,Estimated Ridership,819,5
2020-04-06,20200406,2020,2,4,April,6,Monday,Subways,Estimated Ridership,445454,8
2020-04-07,20200407,2020,2,4,April,7,Tuesday,Access-A-Ride,Scheduled Trips,7041,24
2020-04-07,20200407,2020,2,4,April,7,Tuesday,Bridges and Tunnels,Total Traffic,335469,36
2020-04-07,20200407,2020,2,4,April,7,Tuesday,Buses,Estimated Ridership,21623,1
2020-04-07,20200407,2020,2,4,April,7,Tuesday,LIRR,Estimated Ridership,9312,3
2020-04-07,20200407,2020,2,4,April,7,Tuesday,Metro-North,Estimated Ridership,9589,3
2020-04-07,20200407,2020,2,4,April,7,Tuesday,Staten Island Railway,Estimated Ridership,732,5
2020-04-07,20200407,2020,2,4,April,7,Tuesday,Subways,Estimated Ridership,434986,8
2020-04-08,20200408,2020,2,4,April,8,Wednesday,Access-A-Ride,Scheduled Trips,6950,24
2020-04-08,20200408,2020,2,4,April,8,Wednesday,Bridges and Tunnels,Total Traffic,324881,35
2020-04-08,20200408,2020,2,4,April,8,Wednesday,Buses,Estimated Ridership,20361,1
2020-04-08,20200408,2020,2,4,April,8,Wednesday,LIRR,Estimated Ridership,9039,3
2020-04-08,20200408,2020,2,4,April,8,Wednesday,Metro-North,Estimated Ridership,9292,3
2020-04-08,20200408,2020,2,4,April,8,Wednesday,Staten Island Railway,Estimated Ridership,721,4
2020-04-08,20200408,2020,2,4,April,8,Wednesday,Subways,Estimated Ridership,427485,8
2020-04-09,20200409,2020,2,4,April,9,Thursday,Access-A-Ride,Scheduled Trips,6243,22
2020-04-09,20200409,2020,2,4,April,9,Thursday,Bridges and Tunnels,Total Traffic,303480,32
2020-04-09,20200409,2020,2,4,April,9,Thursday,Buses,Estimated Ridership,18734,1
2020-04-09,20200409,2020,2,4,April,9,Thursday,LIRR,Estimated Ridership,8413,3
2020-04-09,20200409,2020,2,4,April,9,Thursday,Metro-North,Estimated Ridership,8931,3
2020-04-09,20200409,2020,2,4,April,9,Thursday,Staten Island Railway,Estimated Ridership,690,4
2020-04-09,20200409,2020,2,4,April,9,Thursday,Subways,Estimated Ridership,404635,7
2020-04-10,20200410,2020,2,4,April,10,Friday,Access-A-Ride,Scheduled Trips,5378,19
2020-04-10,20200410,2020,2,4,April,10,Friday,Bridges and Tunnels,Total Traffic,314099,33
2020-04-10,20200410,2020,2,4,April,10,Friday,Buses,Estimated Ridership,17135,1
2020-04-10,20200410,2020,2,4,April,10,Friday,LIRR,Estimated Ridership,8247,3
2020-04-10,20200410,2020,2,4,April,10,Friday,Metro-North,Estimated Ridership,9573,3
2020-04-10,20200410,2020,2,4,April,10,Friday,Staten Island Railway,Estimated Ridership,672,4
2020-04-10,20200410,2020,2,4,April,10,Friday,Subways,Estimated Ridership,400275,7
2020-04-11,20200411,2020,2,4,April,11,Saturday,Access-A-Ride,Scheduled Trips,4235,25
2020-04-11,20200411,2020,2,4,April,11,Saturday,Bridges and Tunnels,Total Traffic,254754,28
